,TIME,USER
92,57.34677,67
94,57.36003,53
95,57.3627,53
97,57.36633,51
98,57.38027,51
100,57.38182,50
101,57.38329,50
103,57.38488,49
104,57.38675,49
105,57.39658,49
106,57.41353,49
108,57.42951,48
110,57.44594,45
111,57.46226,45
113,57.4803,44
114,57.49604,44
115,57.51593,44
116,57.55974,44
117,57.57209,44
118,57.57426,44
119,57.58945,44
120,57.59383,44
121,57.61015,44
122,57.62662,44
123,57.64322,44
124,57.65942,44
125,57.67597,44
126,57.69226,44
127,57.71,44
128,57.72515,44
129,57.74356,44
130,57.75802,44
131,57.77454,44
132,57.7934,44
133,57.80731,44
134,57.82456,44
135,57.84116,44
136,57.85689,44
137,57.88303,44
138,57.88976,44
139,57.90664,44
140,57.92278,44
141,57.93926,44
142,57.95518,44
143,57.97552,44
144,57.98927,44
145,58.00444,44
146,58.02348,44
147,58.04037,44
148,58.05376,44
149,58.07014,44
150,58.0866,44
151,58.10317,44
152,58.11949,44
153,58.14133,44
154,58.15742,44
155,58.16899,44
156,58.18999,44
157,58.20395,44
158,58.21823,44
159,58.23467,44
160,58.25191,44
161,58.26738,44
162,58.28389,44
163,58.30182,44
164,58.31652,44
165,58.35312,44
166,58.35916,44
167,58.39642,44
168,58.40099,44
169,58.40266,44
170,58.41544,44
171,58.43478,44
172,58.44795,44
173,58.46451,44
174,58.48814,44
175,58.49805,44
176,58.51431,44
177,58.53379,44
178,58.54772,44
179,58.56536,44
180,58.57947,44
181,58.59608,44
182,58.61234,44
183,58.62878,44
184,58.6453,44
185,58.66512,44
186,58.68098,44
187,58.6945,44
188,58.72482,44
189,58.72904,44
190,58.74373,44
191,58.7601,44
192,58.7766,44
193,58.79309,44
194,58.80943,44
195,58.826,44
196,58.84232,44
197,58.85874,44
198,58.87518,44
199,58.91619,44
200,58.92129,44
201,58.92849,44
202,58.95046,44
203,58.95908,44
204,58.97384,44
205,58.99419,44
206,59.00666,44
207,59.02313,44
208,59.03947,44
209,59.05595,44
210,59.07233,44
211,59.08886,44
212,59.10516,44
213,59.12164,44
214,59.14071,44
215,59.15505,44
216,59.17125,44
217,59.1881,44
218,59.2038,44
219,59.22045,44
220,59.2366,44
221,59.29792,44
222,59.31719,44
223,59.32851,44
224,59.36316,44
225,59.38232,44
226,59.39416,44
227,59.39808,44
228,59.40099,44
229,59.40454,44
230,59.40607,44
231,59.45198,44
232,59.46496,44
233,59.48962,44
234,59.50096,44
235,59.53216,44
236,59.53529,44
237,59.56407,44
238,59.57304,44
239,59.58842,44
240,59.60032,44
241,59.61383,44
242,59.62155,44
243,59.63091,44
244,59.63299,44
245,59.65117,44
246,59.66389,44
247,59.68018,44
248,59.70945,44
249,59.72712,44
250,59.73404,44
251,59.75314,44
252,59.76575,44
253,59.78096,44
254,59.79538,44
255,59.81167,44
256,59.82798,44
257,59.84475,44
258,59.86095,44
259,59.87987,44
260,59.89422,44
261,59.91015,44
262,59.92675,44
263,59.94722,44
264,59.96036,44
265,59.98237,44
266,59.99542,44
267,60.00923,44
268,60.02789,44
269,60.04183,44
270,60.05806,44
271,60.07444,44
272,60.09095,44
273,60.10731,44
274,60.12383,44
275,60.1402,44
276,60.15663,44
277,60.17302,44
278,60.18941,44
279,60.20596,44
280,60.242,44
281,60.24517,44
282,60.26905,44
283,60.27786,44
284,60.28854,44
285,60.32655,44
286,60.33418,44
287,60.3433,44
288,60.36687,44
289,60.37143,44
290,60.38694,44
291,60.41133,44
292,60.425,44
293,60.43903,44
294,60.45733,44
295,60.46869,44
296,60.48533,44
297,60.50168,44
298,60.51814,44
299,60.54043,44
300,60.55103,44
301,60.56739,44
302,60.58422,44
303,60.60028,44
304,60.6167,44
305,60.64029,44
306,60.65398,44
307,60.66791,44
308,60.68418,44
309,60.69881,44
310,60.71515,44
311,60.73777,44
312,60.74802,44
313,60.76455,44
314,60.78432,44
315,60.79936,44
316,60.81378,44
317,60.83015,44
318,60.84703,44
319,60.86315,44
320,60.87959,44
321,60.89597,44
322,60.91443,44
323,60.92883,44
324,60.94844,44
325,60.96232,44
326,60.97813,44
327,60.99458,44
328,61.01297,44
329,61.03272,44
330,61.06719,44
331,61.0854,44
332,61.10149,44
333,61.12011,44
334,61.14508,44
335,61.16428,44
336,61.18319,44
337,61.19212,44
338,61.21243,44
339,61.23096,44
340,61.24886,44
341,61.26485,44
342,61.27815,44
343,61.29219,44
344,61.30673,44
345,61.32301,44
346,61.33945,44
347,61.35606,44
348,61.37225,44
349,61.38881,44
350,61.40564,44
351,61.42205,44
352,61.43817,44
353,61.45453,44
354,61.47221,44
355,61.4929,44
356,61.50368,44
357,61.52071,44
358,61.53665,44
359,61.55297,44
360,61.57007,44
361,61.58649,44
362,61.60253,44
363,61.61965,44
364,61.63541,44
365,61.6517,44
366,61.67002,44
367,61.68454,44
368,61.70317,44
369,61.72367,44
370,61.73373,44
371,61.757,44
372,61.76705,44
373,61.7831,44
374,61.79958,44
375,61.81917,44
376,61.83232,44
377,61.85632,44
378,61.86517,44
379,61.88172,44
380,61.90794,44
381,61.91586,44
382,62.00629,44
383,62.02342,44
385,62.02911,45
386,62.04478,45
387,62.05856,45
388,62.06276,45
389,62.06654,45
390,62.071,45
391,62.08707,45
393,62.09522,44
394,62.11168,44
395,62.13292,44
396,62.15399,44
397,62.16203,44
398,62.18206,44
399,62.20018,44
400,62.24474,44
402,62.25943,45
403,62.2803,45
404,62.29661,45
405,62.30993,45
406,62.33089,45
407,62.34504,45
409,62.37608,44
411,62.3823,45
412,62.39204,45
414,62.41689,44
416,62.42427,45
417,62.44029,45
418,62.4585,45
420,62.47742,44
421,62.49055,44
422,62.51318,44
423,62.52294,44
425,62.5387,45
426,62.55942,45
427,62.57207,45
428,62.59909,45
429,62.60846,45
430,62.62098,45
431,62.63758,45
432,62.65942,45
433,62.67241,45
434,62.70613,45
435,62.71369,45
436,62.72646,45
437,62.76355,45
439,62.77254,44
440,62.79201,44
442,62.79552,45
443,62.80639,45
444,62.82156,45
446,62.85909,44
447,62.87007,44
449,62.89654,45
450,62.90825,45
451,62.91108,45
452,62.9257,45
453,62.93666,45
455,62.94955,44
457,62.96605,45
459,62.98767,44
460,62.99932,44
461,63.01914,44
462,63.04082,44
463,63.08882,44
464,63.09377,44
465,63.09801,44
467,63.10688,45
468,63.12376,45
469,63.13153,45
470,63.14705,45
472,63.16555,44
473,63.17955,44
474,63.19601,44
476,63.21381,45
477,63.22873,45
478,63.24516,45
479,63.26424,45
480,63.27812,45
481,63.29459,45
482,63.31253,45
483,63.33374,45
484,63.34761,45
485,63.36405,45
486,63.37672,45
487,63.39319,45
488,63.41441,45
489,63.42613,45
490,63.44297,45
491,63.45882,45
492,63.47518,45
493,63.4916,45
494,63.50816,45
495,63.52446,45
496,63.54094,45
497,63.55729,45
498,63.57371,45
499,63.59024,45
500,63.6066,45
501,63.62314,45
502,63.63948,45
503,63.656,45
504,63.67257,45
505,63.6888,45
506,63.70526,45
507,63.72348,45
508,63.738,45
509,63.75446,45
510,63.77242,45
511,63.78741,45
512,63.80386,45
513,63.82029,45
514,63.83669,45
515,63.85314,45
516,63.86946,45
517,63.88588,45
518,63.90231,45
519,63.92877,45
520,63.94351,45
521,63.95417,45
522,63.97281,45
523,63.98466,45
524,64.00094,45
525,64.01741,45
526,64.03437,45
527,64.05028,45
528,64.06682,45
529,64.08314,45
530,64.09953,45
531,64.11583,45
532,64.13235,45
533,64.1487,45
534,64.16515,45
535,64.18169,45
536,64.20007,45
537,64.21455,45
538,64.23102,45
539,64.24781,45
540,64.26385,45
541,64.28024,45
542,64.29666,45
543,64.31312,45
544,64.32941,45
545,64.34595,45
546,64.36234,45
547,64.37881,45
548,64.39523,45
549,64.41166,45
550,64.42808,45
551,64.44449,45
552,64.46091,45
553,64.4784,45
554,64.49377,45
555,64.51022,45
556,64.52693,45
557,64.54719,45
558,64.56166,45
559,64.58194,45
560,64.59236,45
561,64.60873,45
562,64.63419,45
563,64.64172,45
564,64.65826,45
565,64.67605,45
566,64.69096,45
567,64.70739,45
568,64.72386,45
569,64.74025,45
570,64.75669,45
571,64.7731,45
572,64.7894,45
573,64.80589,45
574,64.82246,45
575,64.83872,45
576,64.85533,45
577,64.8716,45
578,64.88814,45
579,64.90447,45
580,64.96312,45
581,64.9715,45
582,64.98685,45
583,65.01305,45
584,65.02528,45
585,65.05303,45
586,65.05645,45
587,65.0741,45
588,65.08987,45
589,65.10209,45
590,65.11811,45
591,65.13578,45
592,65.15089,45
